Actor,Year,Film,Role,Debut_Year,Lead_Debut_Year,Career_Span,Career_Phase,Cumulative_Movies,Movies_Per_Year,Release_Gap,High_Productivity,Is_Special,Age_At_Film,Age_At_Debut,Current_Age,Is_Child_Role,Is_Upcoming
Ajith,1990,En Veedu En Kanavar,School boy,1990,1993,36,Early,1,1,0,false,false,19,19,55,true,false
Ajith,1993,Amaravathi,Arjun,1990,1993,36,Early,2,2,3,true,true,22,19,55,false,false
Ajith,1993,Prema Pusthakam,Sreekar,1990,1993,36,Early,3,2,0,true,false,22,19,55,false,false
Ajith,1994,Paasamalargal,Kumar,1990,1993,36,Early,4,2,1,true,false,23,19,55,false,false
Ajith,1994,Pavithra,Ashok,1990,1993,36,Early,5,2,0,true,false,23,19,55,false,false
Ajith,1995,Rajavin Parvaiyile,Chandru,1990,1993,36,Early,6,2,1,true,false,24,19,55,false,false
Ajith,1995,Aasai,Jeevanantham,1990,1993,36,Early,7,2,0,true,false,24,19,55,false,false
Ajith,1996,Vaanmathi,Krishna,1990,1993,36,Growth,8,4,1,true,false,25,19,55,false,false
Ajith,1996,Kalloori Vaasal,Vasanth,1990,1993,36,Growth,9,4,0,true,false,25,19,55,false,false
Ajith,1996,Minor Mappillai,Ramu,1990,1993,36,Growth,10,4,0,true,false,25,19,55,false,false
Ajith,1996,Kadhal Kottai,Surya,1990,1993,36,Growth,11,4,0,true,false,25,19,55,false,false
Ajith,1997,Nesam,Ranganathan,1990,1993,36,Growth,12,5,1,true,false,26,19,55,false,false
Ajith,1997,Raasi,Kumar,1990,1993,36,Growth,13,5,0,true,false,26,19,55,false,false
Ajith,1997,Ullaasam,Guru,1990,1993,36,Growth,14,5,0,true,true,26,19,55,false,false
Ajith,1997,Pagaivan,Prabhu,1990,1993,36,Growth,15,5,0,true,false,26,19,55,false,false
Ajith,1997,Rettai Jadai Vayasu,Vijay,1990,1993,36,Growth,16,5,0,true,false,26,19,55,false,false
Ajith,1998,Kaadhal Mannan,Shiva,1990,1993,36,Growth,17,4,1,true,false,27,19,55,false,false
