Year,Film,Role,Notes,Ref
1990,En Veedu En Kanavar,School boy,Child artist,[28]
1993,Amaravathi,Arjun,Debut as lead actor,[29][30]
1993,Prema Pusthakam,Sreekar,Telugu film,[5][31]
1994,Paasamalargal,Kumar,,[5]
1994,Pavithra,Ashok,,[32]
1995,Rajavin Parvaiyile,Chandru,,[5]
1995,Aasai,Jeevanantham,,[33]
1996,Vaanmathi,Krishna,,[34]
1996,Kalloori Vaasal,Vasanth,,[35]
1996,Minor Mappillai,Ramu,,[5]
1996,Kadhal Kottai,Surya,,[5]
1997,Nesam,Ranganathan,,[5]
1997,Raasi,Kumar,,[5]
1997,Ullaasam,Guru,"Also playback singer for ""Valibam Vaazha Sollum""",[5]
1997,Pagaivan,Prabhu,,[5]
1997,Rettai Jadai Vayasu,Vijay,,[5]
1998,Kaadhal Mannan,Shiva,,[36]
1998,Aval Varuvala,Jeeva,,[5]
1998,Unnidathil Ennai Koduthen,Sanjay,Cameo,[5]
1998,Uyirodu Uyiraga,Ajay,,[37]
1999,Thodarum,Jayaram,,[38]
1999,Unnai Thedi,Raghu,,[39]
1999,Vaalee,Shiva/Deva[f],"Also playback singer for ""Oh Sona""",[40][41]
1999,Anantha Poongatre,Jeeva,,[5]
1999,Amarkkalam,Vasu,25th film[g],[42]
1999,Nee Varuvai Ena,Subramani,Extended Cameo,[5]
2000,Mugavaree,Sridhar,,[43]
2000,Kandukondain Kandukondain,Manohar,,[44]
2000,Unnai Kodu Ennai Tharuven,Surya,,[45]
2001,Dheena,Dheenadhayalan (Thala)[h],,[46]
2001,Citizen,Citizen/Subramani[f],,[47]
2001,Poovellam Un Vasam,Chinna,,[48][49]
2001,Aśoka,Susima,Hindi film; special appearance,[50][31]
2002,Red,Red,,[51]
2002,Raja,Raja,,[52]
2002,Villain,Shiva/Vishnu[f],,[13][53]
2003,Ennai Thalatta Varuvala,Sathish,Extended Cameo,[54]
2003,Anjaneya,Paramaguru,,[55]
2004,Jana,Janarthanan,,[56]
2004,Attahasam,Guru/Jeeva[f],,[57]
2005,Ji,Vasu,,[58]
2006,Paramasivan,Subramaniyam Siva (Paramasivan)[h],,[59]
2006,Thirupathi,Thirupathi,,[60]
2006,Varalaru,Shivashankar /Vishnu / Jeeva[i],,[61][62]
2007,Aalwar,Shiva,,[63]
2007,Kireedam,Sakthivel,,[64]
2007,Billa,David Billa / Saravanavelu [f],,[65][66]
2008,Aegan,Shiva,,[67]
2010,Aasal,Jeevanantham / Shiva [f],Also screenwriter,[68][69]
2011,Mankatha,Vinayak Mahadev,50th film[c],[70][71]
2012,Billa II,David Billa,,[72]
2012,English Vinglish,A flight passenger,Tamil version of the Hindi film[j] Cameo,[74]
2013,Arrambam,Ashok Kumar,,[75][76]
2014,Veeram,Vinayagam,,[77][78]
2015,Yennai Arindhaal,Sathyadev,,[79][80]
2015,Vedalam,Ganesh (Vedalam)[h],,[81]
2017,Vivegam,Ajay Kumar (AK)[h],,[82]
2019,Viswasam,Thookku Durai,,[83]
2019,Nerkonda Paarvai,Bharath Subramaniam,,[84]
2022,Valimai,Arjun Kumar,,[85]
2023,Thunivu,Dark Devil,,[86]
2025,Vidaamuyarchi,Arjun,,[87]
2025,Good Bad Ugly,AK (Red Dragon)[h],,[88]
